"X_coord","Y_COORD","HABITAT"
283000,5163260,1
283000,5164260,1
283000,5165260,1
283000,5166260,1
283000,5167260,1
283000,5168260,1
283000,5169260,1
283000,5170260,1
283000,5171260,1
283000,5172260,1
283000,5173260,1
283000,5174260,1
283000,5175260,1
283000,5176260,1
283000,5177260,1
283000,5178260,1
283000,5179260,1
283000,5180260,0
283000,5181260,0
283000,5182260,1
283000,5183260,1
283000,5184260,1
283000,5185260,1
283000,5186260,1
283000,5187260,1
283000,5188260,1
283000,5189260,1
283000,5190260,1
283000,5191260,0
283000,5192260,1
283000,5193260,1
283000,5194260,1
283000,5195260,1
283000,5196260,0
283000,5197260,1
283000,5198260,0
283000,5199260,1
283000,5200260,1
283000,5201260,0
283000,5202260,1
283000,5203260,1
283000,5204260,1
283000,5205260,1
283000,5206260,0
283000,5207260,1
283000,5208260,1
283000,5209260,1
283000,5210260,1
283000,5211260,1
283000,5212260,1
283000,5213260,1
283000,5214260,1
283000,5215260,1
283000,5216260,1
283000,5217260,1
283000,5218260,1
283000,5219260,1
283000,5220260,1
283000,5221260,1
283000,5222260,1
283000,5223260,1
283000,5224260,1
283000,5225260,0
283000,5226260,0
283000,5227260,0
283000,5228260,1
283000,5229260,1
283000,5230260,1
283000,5231260,1
283000,5232260,1
283000,5233260,1
283000,5234260,1
283000,5235260,1
283000,5236260,1
283000,5237260,1
283000,5238260,1
283000,5239260,1
283000,5240260,0
283000,5241260,0
283000,5242260,0
283000,5243260,0
283000,5244260,0
283000,5245260,0
283000,5246260,0
283000,5247260,0
283000,5248260,0
283000,5249260,0
283000,5250260,0
283000,5251260,1
283000,5252260,1
283000,5253260,0
283000,5254260,1
283000,5255260,1
283000,5256260,1
283000,5257260,0
283000,5258260,1
283000,5259260,1
283000,5260260,1
283000,5261260,0
283000,5262260,1
283000,5263260,1
283000,5264260,0
283000,5265260,1
283000,5266260,0
283000,5267260,1
284000,5163260,1
284000,5164260,1
284000,5165260,1
284000,5166260,1
284000,5167260,1
284000,5168260,1
284000,5169260,1
284000,5170260,1
284000,5171260,1
284000,5172260,1
284000,5173260,1
284000,5174260,1
284000,5175260,0
284000,5176260,0
284000,5177260,1
284000,5178260,1
284000,5179260,1
284000,5180260,1
284000,5181260,1
284000,5182260,1
284000,5183260,1
284000,5184260,1
284000,5185260,1
284000,5186260,1
284000,5187260,1
284000,5188260,1
284000,5189260,1
284000,5190260,0
284000,5191260,0
284000,5192260,1
284000,5193260,1
284000,5194260,0
284000,5195260,1
284000,5196260,1
284000,5197260,1
284000,5198260,1
284000,5199260,1
284000,5200260,1
284000,5201260,1
284000,5202260,1
284000,5203260,1
284000,5204260,0
284000,5205260,1
284000,5206260,1
284000,5207260,1
284000,5208260,1
284000,5209260,0
284000,5210260,1
284000,5211260,1
284000,5212260,1
284000,5213260,1
284000,5214260,1
284000,5215260,1
284000,5216260,1
284000,5217260,1
284000,5218260,1
284000,5219260,1
284000,5220260,1
284000,5221260,1
284000,5222260,1
284000,5223260,1
284000,5224260,1
284000,5225260,1
284000,5226260,1
284000,5227260,1
284000,5228260,1
284000,5229260,1
284000,5230260,1
284000,5231260,1
284000,5232260,1
284000,5233260,1
284000,5234260,1
284000,5235260,1
284000,5236260,1
284000,5237260,1
284000,5238260,0
284000,5239260,0
284000,5240260,0
284000,5241260,0
284000,5242260,0
284000,5243260,1
284000,5244260,0
284000,5245260,0
284000,5246260,1
284000,5247260,1
284000,5248260,1
284000,5249260,0
284000,5250260,0
284000,5251260,1
284000,5252260,0
284000,5253260,1
284000,5254260,1
284000,5255260,0
284000,5256260,0
284000,5257260,1
284000,5258260,1
284000,5259260,1
284000,5260260,1
284000,5261260,1
284000,5262260,1
284000,5263260,1
284000,5264260,1
284000,5265260,1
284000,5266260,1
284000,5267260,1
285000,5163260,1
285000,5164260,1
285000,5165260,1
285000,5166260,1
285000,5167260,1
285000,5168260,1
285000,5169260,0
285000,5170260,0
285000,5171260,1
285000,5172260,1
285000,5173260,1
285000,5174260,0
285000,5175260,1
285000,5176260,1
285000,5177260,1
285000,5178260,1
285000,5179260,1
285000,5180260,1
285000,5181260,1
285000,5182260,1
285000,5183260,1
285000,5184260,1
285000,5185260,1
285000,5186260,1
285000,5187260,1
285000,5188260,1
285000,5189260,0
285000,5190260,0
285000,5191260,1
285000,5192260,1
285000,5193260,0
285000,5194260,0
285000,5195260,1
285000,5196260,1
285000,5197260,1
285000,5198260,0
285000,5199260,1
285000,5200260,0
285000,5201260,1
285000,5202260,1
285000,5203260,1
285000,5204260,1
285000,5205260,1
285000,5206260,1
285000,5207260,1
285000,5208260,1
285000,5209260,1
285000,5210260,1
285000,5211260,1
285000,5212260,1
285000,5213260,1
285000,5214260,1
285000,5215260,1
285000,5216260,1
285000,5217260,0
285000,5218260,1
285000,5219260,1
285000,5220260,1
285000,5221260,1
285000,5222260,1
285000,5223260,1
285000,5224260,1
285000,5225260,1
285000,5226260,1
285000,5227260,1
285000,5228260,1
285000,5229260,1
285000,5230260,1
285000,5231260,1
285000,5232260,1
285000,5233260,1
285000,5234260,1
285000,5235260,1
285000,5236260,0
285000,5237260,1
285000,5238260,0
285000,5239260,0
285000,5240260,0
285000,5241260,0
285000,5242260,1
285000,5243260,1
285000,5244260,0
285000,5245260,0
285000,5246260,0
285000,5247260,0
285000,5248260,1
285000,5249260,1
285000,5250260,0
285000,5251260,1
285000,5252260,1
285000,5253260,1
285000,5254260,1
285000,5255260,1
285000,5256260,0
285000,5257260,1
285000,5258260,0
285000,5259260,1
285000,5260260,1
285000,5261260,1
285000,5262260,1
285000,5263260,1
285000,5264260,1
285000,5265260,1
285000,5266260,1
285000,5267260,1
286000,5163260,1
286000,5164260,1
286000,5165260,1
286000,5166260,1
286000,5167260,1
286000,5168260,0
286000,5169260,0
286000,5170260,0
286000,5171260,1
286000,5172260,1
286000,5173260,1
286000,5174260,1
286000,5175260,1
286000,5176260,1
286000,5177260,0
286000,5178260,1
286000,5179260,1
286000,5180260,1
286000,5181260,1
286000,5182260,1
286000,5183260,1
286000,5184260,1
286000,5185260,1
286000,5186260,1
286000,5187260,1
286000,5188260,0
286000,5189260,0
286000,5190260,1
286000,5191260,1
286000,5192260,1
286000,5193260,1
286000,5194260,1
286000,5195260,1
286000,5196260,1
286000,5197260,0
286000,5198260,1
286000,5199260,1
286000,5200260,1
286000,5201260,1
286000,5202260,1
286000,5203260,1
286000,5204260,1
286000,5205260,1
286000,5206260,1
286000,5207260,1
286000,5208260,1
286000,5209260,0
286000,5210260,1
286000,5211260,0
286000,5212260,1
286000,5213260,0
286000,5214260,1
286000,5215260,1
286000,5216260,1
286000,5217260,1
286000,5218260,1
286000,5219260,1
286000,5220260,1
286000,5221260,1
286000,5222260,1
286000,5223260,1
286000,5224260,1
286000,5225260,1
286000,5226260,1
286000,5227260,1
286000,5228260,1
286000,5229260,1
286000,5230260,0
286000,5231260,1
286000,5232260,1
286000,5233260,1
286000,5234260,1
286000,5235260,1
286000,5236260,1
286000,5237260,1
286000,5238260,0
286000,5239260,0
286000,5240260,0
286000,5241260,1
286000,5242260,0
286000,5243260,0
286000,5244260,0
286000,5245260,0
286000,5246260,1
286000,5247260,0
286000,5248260,0
286000,5249260,1
286000,5250260,1
286000,5251260,1
286000,5252260,1
286000,5253260,0
286000,5254260,1
286000,5255260,1
286000,5256260,1
286000,5257260,1
286000,5258260,1
286000,5259260,1
286000,5260260,0
286000,5261260,1
286000,5262260,1
286000,5263260,1
286000,5264260,1
286000,5265260,1
286000,5266260,1
286000,5267260,1
287000,5163260,1
287000,5164260,1
287000,5165260,1
287000,5166260,1
287000,5167260,1
287000,5168260,1
287000,5169260,0
287000,5170260,1
287000,5171260,1
287000,5172260,1
287000,5173260,1
